Z,U,V,W,time,iplan,id,x,y
2.13006e+02,2.55684e-01,-6.18597e-01,0.00000e+00,43200.0,1,A,59076.035,10090.305
2.13702e+02,2.55684e-01,-6.18597e-01,0.00000e+00,43200.0,2,A,59076.035,10090.305
2.14398e+02,2.55684e-01,-6.18597e-01,0.00000e+00,43200.0,3,A,59076.035,10090.305
2.15094e+02,2.55684e-01,-6.18597e-01,0.00000e+00,43200.0,4,A,59076.035,10090.305
2.15790e+02,2.55684e-01,-6.18597e-01,0.00000e+00,43200.0,5,A,59076.035,10090.305
2.16486e+02,2.55684e-01,-6.18597e-01,0.00000e+00,43200.0,6,A,59076.035,10090.305
2.17183e+02,2.55684e-01,-6.18597e-01,0.00000e+00,43200.0,7,A,59076.035,10090.305
2.12442e+02,1.58332e-01,-6.97030e-01,0.00000e+00,43200.0,1,B,59263.129107,9506.70004324
2.13230e+02,1.58332e-01,-6.97030e-01,0.00000e+00,43200.0,2,B,59263.129107,9506.70004324
2.14018e+02,1.58332e-01,-6.97030e-01,0.00000e+00,43200.0,3,B,59263.129107,9506.70004324
2.14805e+02,1.58332e-01,-6.97030e-01,0.00000e+00,43200.0,4,B,59263.129107,9506.70004324
2.15593e+02,1.58332e-01,-6.97030e-01,0.00000e+00,43200.0,5,B,59263.129107,9506.70004324
2.16380e+02,1.58332e-01,-6.97030e-01,0.00000e+00,43200.0,6,B,59263.129107,9506.70004324
2.17168e+02,1.58332e-01,-6.97030e-01,0.00000e+00,43200.0,7,B,59263.129107,9506.70004324
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43200.0,1,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43200.0,2,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43200.0,3,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43200.0,4,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43200.0,5,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43200.0,6,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43200.0,7,C,56962.3681878,7246.12708763
2.13006e+02,2.55059e-01,-6.15699e-01,-4.12538e-03,43201.0,1,A,59076.035,10090.305
2.13702e+02,2.56168e-01,-6.18638e-01,-4.94076e-03,43201.0,2,A,59076.035,10090.305
2.14398e+02,2.56050e-01,-6.18696e-01,-4.14741e-03,43201.0,3,A,59076.035,10090.305
2.15094e+02,2.55953e-01,-6.18745e-01,-3.41342e-03,43201.0,4,A,59076.035,10090.305
2.15790e+02,2.55877e-01,-6.18784e-01,-2.68778e-03,43201.0,5,A,59076.035,10090.305
2.16486e+02,2.55822e-01,-6.18815e-01,-1.88100e-03,43201.0,6,A,59076.035,10090.305
2.17183e+02,2.55797e-01,-6.18830e-01,-1.43529e-03,43201.0,7,A,59076.035,10090.305
2.12442e+02,1.57092e-01,-6.94400e-01,-1.01678e-03,43201.0,1,B,59263.129107,9506.70004324
2.13230e+02,1.57888e-01,-6.97344e-01,-8.42969e-04,43201.0,2,B,59263.129107,9506.70004324
2.14018e+02,1.58050e-01,-6.97317e-01,-6.37983e-04,43201.0,3,B,59263.129107,9506.70004324
2.14805e+02,1.58181e-01,-6.97298e-01,-4.50121e-04,43201.0,4,B,59263.129107,9506.70004324
2.15593e+02,1.58282e-01,-6.97284e-01,-2.60918e-04,43201.0,5,B,59263.129107,9506.70004324
2.16380e+02,1.58351e-01,-6.97277e-01,-4.64037e-05,43201.0,6,B,59263.129107,9506.70004324
2.17168e+02,1.58380e-01,-6.97277e-01,7.31364e-05,43201.0,7,B,59263.129107,9506.70004324
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43201.0,1,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43201.0,2,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43201.0,3,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43201.0,4,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43201.0,5,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43201.0,6,C,56962.3681878,7246.12708763
2.15280e+02,0.00000e+00,0.00000e+00,0.00000e+00,43201.0,7,C,56962.3681878,7246.12708763
