time,A,B,C,4,5,6
0.0,3.257e+02,3.257e+02,3.257e+02,3.257e+02,3.259e+02,3.322e+02
15000.0,3.259e+02,3.259e+02,3.259e+02,3.259e+02,3.260e+02,3.322e+02
30000.0,3.262e+02,3.262e+02,3.262e+02,3.262e+02,3.264e+02,3.322e+02
45000.0,3.257e+02,3.257e+02,3.257e+02,3.257e+02,3.258e+02,3.322e+02
60000.0,3.250e+02,3.250e+02,3.250e+02,3.250e+02,3.253e+02,3.322e+02
75000.0,3.251e+02,3.251e+02,3.251e+02,3.251e+02,3.253e+02,3.322e+02
90000.0,3.250e+02,3.250e+02,3.250e+02,3.250e+02,3.253e+02,3.322e+02
105000.0,3.241e+02,3.241e+02,3.241e+02,3.241e+02,3.244e+02,3.322e+02
120000.0,3.222e+02,3.222e+02,3.222e+02,3.222e+02,3.232e+02,3.322e+02
135000.0,3.202e+02,3.202e+02,3.202e+02,3.202e+02,3.224e+02,3.322e+02
150000.0,3.185e+02,3.185e+02,3.185e+02,3.185e+02,3.218e+02,3.321e+02
165000.0,3.165e+02,3.165e+02,3.165e+02,3.165e+02,3.218e+02,3.322e+02
180000.0,3.146e+02,3.146e+02,3.146e+02,3.146e+02,3.218e+02,3.322e+02
195000.0,3.137e+02,3.137e+02,3.137e+02,3.136e+02,3.218e+02,3.322e+02
210000.0,3.120e+02,3.120e+02,3.120e+02,3.120e+02,3.218e+02,3.321e+02
225000.0,3.119e+02,3.118e+02,3.118e+02,3.118e+02,3.218e+02,3.321e+02
240000.0,3.106e+02,3.106e+02,3.106e+02,3.106e+02,3.218e+02,3.322e+02
255000.0,3.102e+02,3.102e+02,3.102e+02,3.102e+02,3.218e+02,3.322e+02
270000.0,3.096e+02,3.096e+02,3.096e+02,3.096e+02,3.218e+02,3.322e+02
285000.0,3.096e+02,3.095e+02,3.095e+02,3.095e+02,3.218e+02,3.322e+02
300000.0,3.085e+02,3.085e+02,3.084e+02,3.084e+02,3.218e+02,3.322e+02
315000.0,3.079e+02,3.079e+02,3.078e+02,3.078e+02,3.218e+02,3.322e+02
330000.0,3.073e+02,3.073e+02,3.071e+02,3.071e+02,3.218e+02,3.322e+02
345000.0,3.065e+02,3.063e+02,3.061e+02,3.058e+02,3.218e+02,3.322e+02
360000.0,3.065e+02,3.063e+02,3.060e+02,3.057e+02,3.218e+02,3.322e+02
375000.0,3.064e+02,3.062e+02,3.060e+02,3.055e+02,3.218e+02,3.322e+02
390000.0,3.064e+02,3.060e+02,3.060e+02,3.043e+02,3.218e+02,3.322e+02
405000.0,3.064e+02,3.061e+02,3.060e+02,3.052e+02,3.218e+02,3.322e+02
420000.0,3.064e+02,3.060e+02,3.060e+02,3.049e+02,3.218e+02,3.322e+02
