time,A,B,C,4,5,6
0.0,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15000.0,1.8439762e-02,1.5899746e-02,1.5957096e-02,1.0763987e-02,1.8656414e-03,7.4682580e-06
30000.0,1.8068815e-02,1.5553565e-02,1.5580170e-02,1.0569081e-02,1.5773877e-03,6.7587021e-06
45000.0,2.5638595e-02,2.2262606e-02,2.2379957e-02,1.5058356e-02,3.1116732e-03,8.8067709e-06
60000.0,2.4076705e-02,2.0957732e-02,2.1412045e-02,1.4189898e-02,2.0656697e-02,1.3711027e-05
75000.0,2.4016406e-02,2.0808548e-02,2.1029627e-02,1.3795151e-02,2.1396559e-02,1.3623634e-05
90000.0,2.4270685e-02,2.1093265e-02,2.1433508e-02,1.3976430e-02,2.0874217e-02,1.3999506e-05
105000.0,2.7839425e-02,2.4178379e-02,2.4999822e-02,1.6090001e-02,1.0567837e-02,3.5457117e-05
120000.0,2.8140571e-02,2.4802490e-02,2.5419966e-02,1.5615086e-02,5.1411542e-03,4.0941817e-05
135000.0,3.0168703e-02,2.8865676e-02,2.6649051e-02,1.6001701e-02,1.3960344e-03,3.1401349e-05
150000.0,3.3947187e-02,3.2244251e-02,3.0269583e-02,1.8529314e-02,5.4383175e-05,7.3634641e-04
165000.0,3.9052104e-02,3.6793029e-02,3.4691607e-02,1.8595120e-02,1.8973094e-05,2.7585531e-05
180000.0,4.7979709e-02,4.4260142e-02,4.2844225e-02,2.0185387e-02,9.2407882e-06,1.7412867e-05
195000.0,5.3793722e-02,4.9088825e-02,4.8342970e-02,2.1213718e-02,1.6218268e-05,2.4806999e-04
210000.0,7.0412501e-02,6.2869312e-02,6.2040150e-02,2.5580651e-02,2.0403126e-05,3.8374870e-04
225000.0,6.4998719e-02,5.7787350e-02,5.6288705e-02,2.2880103e-02,1.9046365e-05,3.8380470e-04
240000.0,8.9982197e-02,7.9202501e-02,7.6021667e-02,2.7340038e-02,2.2091234e-05,2.8954787e-04
255000.0,9.9978819e-02,8.7528318e-02,8.6352007e-02,2.8162155e-02,2.6233573e-05,2.7167119e-04
270000.0,1.1965733e-01,1.0464668e-01,1.0746942e-01,3.0980522e-02,3.2233190e-05,1.9641247e-04
285000.0,1.3578645e-01,1.1815695e-01,1.2153875e-01,3.4195854e-02,3.2026930e-05,1.7328300e-04
300000.0,1.7928178e-01,1.5544516e-01,1.4804027e-01,3.5849391e-02,2.3584252e-05,8.5681997e-05
315000.0,2.2832439e-01,2.0073317e-01,1.5559990e-01,3.9012203e-02,2.2214679e-05,7.8263591e-05
330000.0,3.1085362e-01,2.8464112e-01,1.2660556e-01,4.5424325e-02,2.3939258e-05,9.4793635e-05
345000.0,4.4619918e-01,4.6250692e-01,1.1202536e-01,4.8789421e-02,3.1230954e-05,1.1212644e-04
360000.0,4.6514928e-01,4.9466584e-01,6.6013332e-02,5.0821992e-02,2.9615314e-05,1.0876727e-04
375000.0,4.7205458e-01,5.1147125e-01,5.3096377e-02,5.0745862e-02,3.0588521e-05,1.1445270e-04
390000.0,4.9789312e-01,5.7153453e-01,1.3112554e-03,5.5920806e-02,4.5413073e-05,1.3050389e-04
