time,A,B,C,4,5,6
0.0,2.2106079e+01,2.1872127e+01,1.9688396e+01,3.5732151e+01,4.1085464e+00,0.0000000e+00
15000.0,2.2259780e+01,2.2027439e+01,1.9841853e+01,3.5885620e+01,4.2492923e+00,-4.7317330e-06
30000.0,2.2629219e+01,2.2396851e+01,2.0211351e+01,3.6255096e+01,4.5889923e+00,-4.6189707e-06
45000.0,2.2047988e+01,2.1816435e+01,1.9629497e+01,3.5673141e+01,4.0536107e+00,-8.7990484e-06
60000.0,2.1442311e+01,2.1210649e+01,1.9024047e+01,3.5068087e+01,3.4989565e+00,-5.0022551e-05
75000.0,2.1488928e+01,2.1257013e+01,1.9070370e+01,3.5114329e+01,3.5413007e+00,-4.7739912e-05
90000.0,2.1437553e+01,2.1205736e+01,1.9018924e+01,3.5062916e+01,3.4939948e+00,-4.9657094e-05
105000.0,2.0487014e+01,2.0255416e+01,1.8067839e+01,3.4112013e+01,2.6175491e+00,-1.6062947e-04
120000.0,1.8633472e+01,1.8403258e+01,1.6215084e+01,3.2258309e+01,1.4645927e+00,-1.5862935e-04
135000.0,1.6588912e+01,1.6355816e+01,1.4168851e+01,3.0212583e+01,5.8952674e-01,-1.2528186e-04
150000.0,1.4875836e+01,1.4641822e+01,1.2454156e+01,2.8495643e+01,-1.6107318e-04,-3.0217313e-03
165000.0,1.2911256e+01,1.2675704e+01,1.0487352e+01,2.6529179e+01,-2.1239649e-04,-1.1043239e-04
180000.0,1.1009998e+01,1.0774609e+01,8.5844276e+00,2.4625618e+01,-8.9613708e-05,-7.1339389e-05
195000.0,1.0056037e+01,9.8204911e+00,7.6293470e+00,2.3670116e+01,-9.6419506e-05,-1.0307224e-03
210000.0,8.4329994e+00,8.1960609e+00,6.0018556e+00,2.2043930e+01,-1.5246837e-04,-1.6018962e-03
225000.0,8.2479843e+00,8.0117828e+00,5.8196827e+00,2.1862135e+01,-8.7822246e-05,-1.6020645e-03
