time,A,B,C,4,5,6
0.0,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15000.0,1.1566155e-02,1.0691557e-02,8.8430777e-03,7.7041709e-03,5.1360595e-04,0.0000000e+00
30000.0,1.1434108e-02,1.0542874e-02,8.7118912e-03,7.5786770e-03,4.9261533e-04,0.0000000e+00
45000.0,1.6032107e-02,1.4881966e-02,1.2346280e-02,1.0739853e-02,6.9221806e-04,0.0000000e+00
60000.0,1.4839556e-02,1.3774713e-02,1.1592846e-02,9.9958560e-03,4.6214309e-03,3.9385858e-10
75000.0,1.4819224e-02,1.3715585e-02,1.1433895e-02,9.7382592e-03,4.8122458e-03,3.7982748e-10
90000.0,1.4959209e-02,1.3864162e-02,1.1632583e-02,9.8656534e-03,4.6623714e-03,4.0124715e-10
105000.0,1.6770907e-02,1.5559759e-02,1.3194349e-02,1.1196731e-02,1.7179529e-03,1.0242590e-09
120000.0,1.6160926e-02,1.5259112e-02,1.2909094e-02,1.0543077e-02,1.4551104e-03,1.3002360e-09
135000.0,1.6145125e-02,1.6591500e-02,1.2819909e-02,1.0488508e-02,1.8726886e-04,1.0172994e-09
150000.0,1.7119009e-02,1.7534162e-02,1.3197320e-02,1.1589136e-02,2.8402205e-04,2.1990520e-08
165000.0,1.8257574e-02,1.8529732e-02,1.3775419e-02,1.1177714e-02,2.7395240e-04,8.9322233e-10
180000.0,2.0689003e-02,2.0480028e-02,1.5359298e-02,1.1393878e-02,1.7846294e-04,5.6711580e-10
195000.0,2.2149204e-02,2.1644065e-02,1.6349250e-02,1.1619500e-02,1.0676590e-04,7.6073583e-09
210000.0,2.6440964e-02,2.5210008e-02,1.8640241e-02,1.4101742e-02,6.0182104e-05,1.1906153e-08
225000.0,2.4111427e-02,2.2889799e-02,1.6597122e-02,1.2447582e-02,1.1952239e-04,1.1904425e-08
240000.0,3.0831425e-02,2.8641730e-02,1.9705248e-02,1.4246429e-02,1.1804000e-04,9.0218935e-09
255000.0,3.3184582e-02,3.0576958e-02,2.0952912e-02,1.4485116e-02,1.7219731e-04,8.4963867e-09
270000.0,3.7932206e-02,3.4681382e-02,2.4065445e-02,1.5709902e-02,2.1014702e-04,6.2189414e-09
285000.0,4.2836609e-02,3.8929962e-02,2.6820136e-02,1.7302083e-02,1.7335829e-04,5.4935509e-09
300000.0,5.1232876e-02,4.5760397e-02,2.7480496e-02,1.7586699e-02,1.1687287e-04,2.7828344e-09
315000.0,6.1330799e-02,5.4575221e-02,2.6282616e-02,1.8840109e-02,5.1020080e-05,2.5472917e-09
330000.0,7.7316072e-02,6.9675742e-02,1.7986955e-02,2.1568991e-02,5.0795522e-05,3.0681451e-09
345000.0,9.7665307e-02,9.2313923e-02,3.9193632e-03,2.2411889e-02,2.8949784e-05,3.6350116e-09
360000.0,1.0142801e-01,9.6962767e-02,4.1405781e-03,2.3235399e-02,2.9455901e-05,3.5247665e-09
