time,A,B,C,4,5,6
0.0,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15000.0,6.0625956e+00,5.1479894e+00,4.4189444e+00,7.2495264e+00,4.9542598e-02,-1.1068125e-14
30000.0,6.0895003e+00,5.1631320e+00,4.4357724e+00,7.2281150e+00,4.3397738e-02,-9.7778426e-15
45000.0,8.3094119e+00,7.1047907e+00,6.0984445e+00,1.0052071e+01,6.3510371e-02,-2.4270957e-14
60000.0,7.4837814e+00,6.4114966e+00,5.5667706e+00,9.2326314e+00,4.4717435e-01,-2.1481784e-13
75000.0,7.4894176e+00,6.3868503e+00,5.4872735e+00,8.9928059e+00,4.7258301e-01,-2.0370846e-13
90000.0,7.5415881e+00,6.4507348e+00,5.5699777e+00,9.0909139e+00,4.5332762e-01,-2.1773515e-13
105000.0,8.0816031e+00,6.9027370e+00,6.0153982e+00,1.0043125e+01,2.1397845e-01,-1.7838696e-12
120000.0,7.0862949e+00,6.1321049e+00,5.2006497e+00,8.9639596e+00,9.9372698e-02,-2.0341602e-12
135000.0,6.3803206e+00,5.9793410e+00,4.4595899e+00,8.3253849e+00,6.9617235e-03,-1.2321710e-12
150000.0,6.0951595e+00,5.6568649e+00,4.1782574e+00,8.8308492e+00,1.6584778e-10,-6.9690326e-10
165000.0,5.6658828e+00,5.1990823e+00,3.7028765e+00,7.9595817e+00,-1.2399587e-12,-9.5414052e-13
180000.0,5.4802714e+00,4.9009952e+00,3.3887402e+00,7.7308587e+00,-2.5923861e-13,-3.8907573e-13
195000.0,5.3621871e+00,4.7296508e+00,3.2045597e+00,7.6593545e+00,-5.9437947e-13,-8.0084855e-11
210000.0,5.3840165e+00,4.6179297e+00,2.8726316e+00,8.2967276e+00,-1.0570793e-12,-1.9253771e-10
225000.0,4.8067186e+00,4.1021956e+00,2.4904543e+00,7.3334647e+00,-6.7202666e-13,-1.9258603e-10
240000.0,5.2114936e+00,4.3678334e+00,2.3515618e+00,8.0201841e+00,-1.0633620e-12,-1.0965803e-10
255000.0,5.2740372e+00,4.3833150e+00,2.3032178e+00,8.0115700e+00,-1.5766259e-12,-9.6533635e-11
270000.0,5.4972497e+00,4.5375241e+00,2.2789969e+00,8.4347017e+00,-2.8952091e-12,-5.0394477e-11
285000.0,6.1418888e+00,5.0392103e+00,2.5022060e+00,9.2606742e+00,-2.6899452e-12,-3.9218875e-11
300000.0,6.0756604e+00,4.8942435e+00,1.7904889e+00,8.9326426e+00,-1.3740513e-12,-9.6458423e-12
