time,A,B,C,4,5,6
0.0,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15000.0,2.6154345e-01,1.8134007e-01,6.4836141e-02,-7.7563385e-02,1.6671287e-03,-1.8214338e-09
30000.0,2.5854944e-01,1.7870281e-01,6.4070031e-02,-7.5162010e-02,1.7264400e-03,-1.7103856e-09
45000.0,3.6192954e-01,2.5227435e-01,8.9336575e-02,-1.0730603e-01,2.9163165e-03,-1.8346754e-09
60000.0,3.3532571e-01,2.3123255e-01,8.4747038e-02,-9.7821035e-02,-2.0361198e-02,4.2152490e-09
75000.0,3.3483189e-01,2.3107916e-01,8.1201500e-02,-9.5362062e-02,-2.2159907e-02,4.1702832e-09
90000.0,3.3797529e-01,2.3280809e-01,8.2911744e-02,-9.7478291e-02,-2.0431614e-02,4.3253880e-09
105000.0,3.7928270e-01,2.6061409e-01,9.4774890e-02,-1.1159171e-01,5.4618831e-03,1.1074211e-08
120000.0,3.6711574e-01,2.5615286e-01,8.4099971e-02,-1.0522014e-01,-1.8905474e-03,1.2768707e-08
135000.0,3.7544151e-01,2.8212076e-01,6.4406610e-02,-1.0735733e-01,1.9592180e-03,9.7251265e-09
150000.0,3.9962196e-01,3.0768425e-01,9.6868724e-02,-1.2748230e-01,6.2132084e-07,2.1684323e-07
165000.0,4.2672001e-01,3.3255829e-01,1.0614067e-01,-1.2810303e-01,4.9398493e-09,8.5464373e-09
180000.0,4.8414474e-01,3.7489158e-01,1.2426976e-01,-1.2010453e-01,2.0932945e-09,5.3668230e-09
195000.0,5.1858278e-01,4.0077390e-01,1.3308523e-01,-1.1615278e-01,4.9021140e-09,7.3479171e-08
210000.0,6.1905472e-01,4.7838650e-01,1.5363786e-01,-1.7022351e-01,6.1222366e-09,1.1420137e-07
225000.0,5.6512020e-01,4.3616504e-01,1.4150612e-01,-1.3988915e-01,5.8618665e-09,1.1419019e-07
240000.0,7.2110777e-01,5.6243958e-01,1.8690479e-01,-1.5979548e-01,6.7764751e-09,8.6376367e-08
255000.0,7.7596097e-01,6.0626704e-01,2.1468964e-01,-1.5901882e-01,8.1070238e-09,8.1238525e-08
270000.0,8.8742312e-01,6.9641278e-01,2.5566590e-01,-1.7204972e-01,9.9698818e-09,5.9230580e-08
285000.0,1.0018802e+00,7.8220237e-01,2.9576131e-01,-1.8878317e-01,9.8691594e-09,5.2302173e-08
300000.0,1.2011706e+00,9.5444089e-01,3.4781030e-01,-1.9321904e-01,7.1797953e-09,2.6130300e-08
315000.0,1.4377200e+00,1.1732485e+00,3.2129950e-01,-2.1179253e-01,6.5877259e-09,2.3895547e-08
330000.0,1.8162362e+00,1.5555737e+00,1.2304659e-01,-2.5737311e-01,7.1384783e-09,2.8896876e-08
345000.0,2.3005702e+00,2.2064142e+00,-5.0533659e-02,-2.7483917e-01,9.3878665e-09,3.4199005e-08
360000.0,2.3888023e+00,2.3395272e+00,-2.2920161e-02,-2.8649496e-01,8.8951979e-09,3.3152695e-08
375000.0,2.3971644e+00,2.3841703e+00,-4.5945534e-03,-2.8620481e-01,9.2268186e-09,3.4899728e-08
390000.0,2.4930117e+00,2.5967476e+00,3.6003510e-07,-3.1236826e-01,1.3712192e-08,3.9769709e-08
405000.0,2.4432376e+00,2.4844629e+00,4.3914668e-03,-2.8819252e-01,9.8947465e-09,3.1819670e-08
