time,A,B,C,4,5,6
0.0,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15000.0,1.6959946e-02,1.4574169e-02,1.4126716e-02,1.1609756e-02,9.3249804e-04,1.1335318e-09
30000.0,1.6710428e-02,1.4336118e-02,1.3878236e-02,1.1438417e-02,8.0247086e-04,1.0258355e-09
45000.0,2.3506031e-02,2.0341158e-02,1.9741919e-02,1.6209500e-02,1.4655297e-03,1.3366913e-09
60000.0,2.1869968e-02,1.8969849e-02,1.8691762e-02,1.5187858e-02,9.5678688e-03,2.0810591e-09
75000.0,2.1831007e-02,1.8848601e-02,1.8372780e-02,1.4771569e-02,9.9781910e-03,2.0677946e-09
90000.0,2.2044552e-02,1.9091064e-02,1.8708726e-02,1.4958345e-02,9.6727574e-03,2.1248445e-09
105000.0,2.4906547e-02,2.1551381e-02,2.1451390e-02,1.7063336e-02,4.5597873e-03,5.3816795e-09
120000.0,2.4392838e-02,2.1412056e-02,2.1039352e-02,1.6254316e-02,2.4666125e-03,6.2141470e-09
135000.0,2.5155893e-02,2.3958966e-02,2.1092851e-02,1.6296423e-02,4.9953395e-04,4.7660951e-09
150000.0,2.7295042e-02,2.5793193e-02,2.2954274e-02,1.8506084e-02,2.7251717e-07,1.1176262e-07
165000.0,2.9946965e-02,2.8050242e-02,2.4845131e-02,1.8133407e-02,2.8797353e-09,4.1869304e-09
180000.0,3.4888020e-02,3.1963269e-02,2.8703996e-02,1.9203250e-02,1.4025664e-09,2.6429241e-09
195000.0,3.7949424e-02,3.4370969e-02,3.1138920e-02,1.9918488e-02,2.4616080e-09,3.7652050e-08
210000.0,4.6830083e-02,4.1443715e-02,3.6890828e-02,2.3452503e-02,3.0967855e-09,5.8245362e-08
225000.0,4.2909545e-02,3.7805778e-02,3.3133172e-02,2.0921409e-02,2.8908564e-09,5.8253860e-08
240000.0,5.6260924e-02,4.8988311e-02,4.1311524e-02,2.4511742e-02,3.3530064e-09,4.3947566e-08
255000.0,6.1225983e-02,5.2990156e-02,4.5394776e-02,2.5076882e-02,3.9817306e-09,4.1234241e-08
270000.0,7.1058503e-02,6.1357230e-02,5.3663793e-02,2.7318161e-02,4.8923520e-09,2.9811474e-08
285000.0,8.0358155e-02,6.9024423e-02,6.0286228e-02,3.0117698e-02,4.8610462e-09,2.6300887e-08
300000.0,9.9497981e-02,8.4884079e-02,6.5112219e-02,3.0994079e-02,3.5796165e-09,1.3004810e-08
315000.0,1.2158431e-01,1.0482350e-01,6.2660324e-02,3.3349467e-02,3.3717429e-09,1.1878845e-08
