time,A,B,C,4,5,6
0.0,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15000.0,-7.5739705e-02,-1.4737060e-01,-2.1287404e-01,-1.8645886e-01,1.4138981e-03,-1.4676151e-09
30000.0,-7.4306145e-02,-1.4557439e-01,-2.0972441e-01,-1.8459029e-01,2.4645859e-03,-1.2473149e-09
45000.0,-1.0485304e-01,-2.0584421e-01,-2.9728473e-01,-2.6044139e-01,5.9395141e-03,-2.0597390e-09
60000.0,-9.6576294e-02,-1.9460978e-01,-2.7984877e-01,-2.4431459e-01,-1.0841150e-01,-8.2080182e-10
75000.0,-9.6499710e-02,-1.9195328e-01,-2.7581231e-01,-2.3759193e-01,-1.1321676e-01,-9.0356528e-10
90000.0,-9.7395330e-02,-1.9571825e-01,-2.8065346e-01,-2.4015793e-01,-1.0963110e-01,-7.1921047e-10
105000.0,-1.0819064e-01,-2.1949260e-01,-3.1890213e-01,-2.7233387e-01,-2.6336163e-02,-8.3297735e-10
120000.0,-9.9013000e-02,-2.1295913e-01,-3.0918683e-01,-2.5705741e-01,-2.8945918e-02,-1.1825870e-09
135000.0,-8.3694861e-02,-2.3227193e-01,-3.0741121e-01,-2.5367492e-01,4.6522746e-03,-1.4672736e-09
150000.0,-9.0984960e-02,-2.3351156e-01,-3.2027849e-01,-2.8232440e-01,1.5573342e-07,-7.8545668e-08
165000.0,-1.0372402e-01,-2.3991473e-01,-3.3560475e-01,-2.7116880e-01,3.3304711e-10,-1.2683603e-09
180000.0,-1.1747319e-01,-2.5739900e-01,-3.7321468e-01,-2.8978301e-01,1.3872336e-10,-9.7052000e-10
195000.0,-1.2646470e-01,-2.6685401e-01,-3.9672556e-01,-3.0165046e-01,-6.3706349e-11,-2.5253909e-08
210000.0,-1.6074795e-01,-2.9738482e-01,-4.5093656e-01,-3.3541900e-01,-7.9513071e-10,-3.7477388e-08
225000.0,-1.4673075e-01,-2.6795019e-01,-4.0151560e-01,-3.0451523e-01,-6.4964103e-10,-3.7567595e-08
240000.0,-1.8716378e-01,-3.1556965e-01,-4.7462051e-01,-3.5441101e-01,-7.4360865e-10,-2.7633821e-08
255000.0,-2.0432060e-01,-3.2979945e-01,-5.0782259e-01,-3.6308148e-01,-7.5559685e-10,-2.5309989e-08
270000.0,-2.3128653e-01,-3.6533137e-01,-5.8159802e-01,-3.9374080e-01,-8.5137259e-10,-1.6620046e-08
285000.0,-2.6091608e-01,-4.0980277e-01,-6.4696125e-01,-4.3417926e-01,-9.2666672e-10,-1.4495900e-08
300000.0,-3.1332802e-01,-4.3739303e-01,-6.3452327e-01,-4.4237194e-01,-4.7137301e-10,-6.1154877e-09
315000.0,-3.7539196e-01,-4.8025453e-01,-5.8387752e-01,-4.7105036e-01,-5.9528581e-10,-5.4666218e-09
330000.0,-4.7086017e-01,-5.5156973e-01,-1.1869521e-01,-5.2984293e-01,-7.4460232e-10,-6.8176846e-09
345000.0,-6.0794070e-01,-5.7313452e-01,1.0298371e-01,-5.4384804e-01,-1.0875812e-09,-7.9858760e-09
360000.0,-6.3279554e-01,-5.8256892e-01,3.1504048e-02,-5.6242756e-01,-1.1095927e-09,-7.8392022e-09
375000.0,-6.3738626e-01,-5.6004314e-01,2.7538081e-02,-5.5713516e-01,-1.1867001e-09,-8.1891507e-09
390000.0,-6.6489883e-01,-5.4133223e-01,-6.4789594e-08,-5.8681774e-01,-2.0674533e-09,-9.4412629e-09
405000.0,-6.5177258e-01,-5.5077211e-01,6.1254114e-03,-5.6163808e-01,-1.3955927e-09,-7.7198763e-09
420000.0,-6.5556305e-01,-5.3719410e-01,-4.0932873e-03,-5.6221432e-01,-1.5995690e-09,-8.2961602e-09
435000.0,-6.6202463e-01,-5.7840764e-01,5.1048853e-03,-5.8577452e-01,-1.1763409e-09,-7.9782643e-09
450000.0,-6.9244552e-01,-6.2018541e-01,-9.7860189e-03,-6.5982628e-01,-2.5975395e-09,-1.2111568e-08
465000.0,-6.3446934e-01,-6.8926063e-01,7.3964006e-02,-6.5115358e-01,-1.1722581e-09,-9.0235348e-09
480000.0,-4.6514449e-01,-6.1629243e-01,-8.8434030e-01,-6.2345245e-01,-6.7514313e-10,-6.4396710e-09
495000.0,-4.7010967e-01,-6.2307197e-01,-8.8985526e-01,-6.2569225e-01,8.4569016e-10,-4.8724393e-09
510000.0,-3.6651170e-01,-5.4259784e-01,-8.2131802e-01,-5.6134009e-01,-1.9823864e-10,-2.5368112e-09
525000.0,-2.6604249e-01,-4.2773099e-01,-6.5819134e-01,-4.5888504e-01,1.1577125e-07,-1.2854328e-08
540000.0,-1.9626583e-01,-3.6137640e-01,-5.3243265e-01,-3.9713697e-01,2.2058517e-07,-2.4176138e-08
555000.0,-1.5196038e-01,-3.2488171e-01,-4.7233432e-01,-3.6382438e-01,5.9702474e-07,-3.5143596e-08
570000.0,-1.3693491e-01,-3.0395917e-01,-4.3351727e-01,-3.4139899e-01,8.0727931e-07,-2.6744418e-08
585000.0,-1.2138940e-01,-2.7868404e-01,-3.8478667e-01,-3.1770116e-01,6.3399821e-10,-2.6462084e-08
600000.0,-1.1701638e-01,-2.7208911e-01,-3.7187254e-01,-3.0497628e-01,6.8920867e-10,-6.0883365e-09
615000.0,-1.1858269e-01,-2.7707404e-01,-3.8053695e-01,-3.1748986e-01,1.1079030e-09,-9.3183630e-09
630000.0,-7.8392952e-02,-1.8212868e-01,-2.4770245e-01,-2.0794896e-01,3.1840733e-10,-5.4007518e-09
645000.0,-7.5422079e-02,-1.7553628e-01,-2.4059978e-01,-1.9969675e-01,4.2679582e-10,-9.4444079e-09
660000.0,-7.5271050e-02,-1.7312544e-01,-2.4014937e-01,-1.9616627e-01,1.3483837e-10,-4.3926232e-09
675000.0,-7.9302180e-02,-1.8034580e-01,-2.5231955e-01,-2.0421603e-01,7.9630961e-11,-3.7517163e-09
690000.0,-7.3312884e-02,-1.6477271e-01,-2.2958354e-01,-1.8347096e-01,3.2360896e-08,-3.2570091e-09
705000.0,-1.1641302e-01,-2.5716623e-01,-3.7366679e-01,-2.9190424e-01,6.7736310e-11,-5.9175251e-09
720000.0,-3.8719643e-02,-8.5687761e-02,-1.1499009e-01,-9.1681304e-02,7.6089075e-08,-3.7360266e-09
735000.0,-3.1653479e-02,-8.8462400e-02,-1.1649349e-01,-9.5615380e-02,-4.1109773e-04,-6.1036070e-09
750000.0,-6.1695336e-02,-1.4300552e-01,-1.9850003e-01,-1.5380700e-01,-9.9258665e-03,-1.7255430e-09
765000.0,-9.4949592e-02,-2.1710318e-01,-3.0429333e-01,-2.4737493e-01,1.1790809e-02,-1.9645778e-09
780000.0,-6.0177176e-02,-1.4431550e-01,-1.9845954e-01,-1.6281839e-01,5.9849718e-03,-4.4587379e-11
795000.0,-7.0403036e-02,-1.5377589e-01,-2.2019864e-01,-1.7424611e-01,9.6971096e-04,-1.1023442e-10
810000.0,-6.0107054e-02,-1.3335580e-01,-1.9107373e-01,-1.6337712e-01,4.7762066e-03,-1.2203849e-10
825000.0,-6.1092538e-02,-1.2864643e-01,-1.8629242e-01,-1.5914095e-01,-2.2050215e-03,-1.3427096e-11
840000.0,-4.7076837e-02,-9.5976140e-02,-1.3589733e-01,-1.1478471e-01,-5.7460720e-02,-1.7240734e-09
855000.0,-7.7290834e-02,-1.5289210e-01,-2.2110537e-01,-1.9705291e-01,2.8476354e-02,9.5790476e-10
870000.0,-9.3246899e-02,-1.8403917e-01,-2.6628210e-01,-2.3381976e-01,3.4776627e-02,8.3040758e-10
885000.0,-9.8633370e-02,-1.9340689e-01,-2.7818897e-01,-2.3466246e-01,3.1536824e-02,7.8921436e-10
900000.0,-9.3356286e-02,-1.8418615e-01,-2.6592544e-01,-2.3267775e-01,3.4522671e-02,8.7903179e-10
915000.0,-9.5385381e-02,-1.8757362e-01,-2.7034990e-01,-2.3256251e-01,3.2139508e-02,7.1587097e-10
930000.0,-9.2670763e-02,-1.8276330e-01,-2.6393747e-01,-2.2976654e-01,2.5037134e-02,-7.0160783e-10
945000.0,-1.0276188e-01,-2.0230040e-01,-2.9162913e-01,-2.5292742e-01,1.9755780e-02,-7.9571821e-10
960000.0,-1.0321638e-01,-2.0337422e-01,-2.9362812e-01,-2.5386334e-01,2.0408945e-02,-6.4526590e-10
975000.0,-1.0552014e-01,-2.0760941e-01,-2.9926396e-01,-2.5892147e-01,2.0990680e-02,-8.7103069e-10
990000.0,-1.0028479e-01,-1.9766152e-01,-2.8535413e-01,-2.4636051e-01,1.8193244e-02,-6.9957706e-10
1005000.0,-9.6529295e-02,-1.9061251e-01,-2.7522090e-01,-2.3826329e-01,1.4504383e-02,-8.5016472e-10
1020000.0,-8.0705060e-02,-1.5992139e-01,-2.3100888e-01,-2.0032808e-01,-1.9847668e-04,-1.6394807e-09
1035000.0,-8.7133974e-02,-1.7179708e-01,-2.4750618e-01,-2.1100265e-01,-9.0155793e-03,-2.3969180e-09
1050000.0,-9.4242400e-02,-1.8601903e-01,-2.6833553e-01,-2.3389155e-01,-8.5535501e-04,-2.1049249e-09
1065000.0,-9.0016104e-02,-1.7789859e-01,-2.5689540e-01,-2.2273268e-01,-6.3369425e-04,-1.8463616e-09
1080000.0,-8.9437684e-02,-1.7681309e-01,-2.5525769e-01,-2.2105025e-01,-1.0037943e-03,-1.8198874e-09
1095000.0,-5.8868096e-02,-1.1756204e-01,-1.7022315e-01,-1.5072805e-01,4.5864238e-03,-9.1635249e-10
1110000.0,-3.2206182e-02,-6.4652150e-02,-9.3507032e-02,-8.3510767e-02,4.6854411e-03,-2.8576250e-10
1125000.0,-4.9785748e-02,-9.9718618e-02,-1.4416304e-01,-1.2937335e-01,6.9689424e-03,-6.6256212e-10
1140000.0,-3.3657565e-02,-6.7892298e-02,-9.8301931e-02,-9.0664779e-02,9.1911027e-03,-3.4340497e-10
1155000.0,-3.5007530e-02,-6.9983712e-02,-1.0066117e-01,-8.8236131e-02,-3.0137250e-03,-7.6818385e-10
1170000.0,-3.4940827e-02,-6.8586129e-02,-9.8699942e-02,-8.7899543e-02,-1.5697017e-03,-6.6242323e-10
1185000.0,-4.4354463e-02,-8.6953578e-02,-1.2563673e-01,-1.1023422e-01,-3.3093407e-03,-1.0996344e-09
1200000.0,-4.4230510e-02,-8.7579345e-02,-1.2624322e-01,-1.1105326e-01,-1.0541852e-03,-1.0403933e-09
1215000.0,-4.1482181e-02,-8.1256990e-02,-1.1735293e-01,-1.0297314e-01,-1.7536288e-03,-9.5433550e-10
1230000.0,-1.3115743e-04,-8.2733005e-03,1.2572785e-04,-1.8422663e-02,7.4997833e-03,-3.0005958e-09
1245000.0,1.9305956e-04,-6.6235106e-03,-3.5734036e-03,-8.9554341e-03,1.4198689e-03,1.6620807e-07
1260000.0,-1.5003971e-02,-3.0842132e-02,-4.3979823e-02,-3.3198396e-02,-1.9883086e-03,9.2670378e-09
1275000.0,-2.8519467e-02,-5.5767203e-02,-7.9140934e-02,-7.0984139e-02,9.7512074e-03,1.0826079e-08
1290000.0,-4.3489025e-02,-8.2881531e-02,-1.1657482e-01,-9.6778804e-02,5.0659269e-03,6.6304413e-11
1305000.0,-4.7019775e-02,-9.2176636e-02,-1.3304811e-01,-1.2612235e-01,3.1944736e-02,2.1899682e-10
1320000.0,-1.5186821e-02,-3.1283404e-02,-4.4577813e-02,-4.1301017e-02,9.5823537e-03,2.8079581e-08
1335000.0,-6.0084449e-02,-1.1494411e-01,-1.6319104e-01,-1.4218254e-01,2.1157786e-03,1.5248838e-10
1350000.0,-6.2168186e-02,-1.2077532e-01,-1.7198040e-01,-1.5300419e-01,-2.0076067e-02,-4.0437256e-10
1365000.0,-4.6058918e-02,-9.1087497e-02,-1.3076420e-01,-1.1534211e-01,1.7209163e-02,4.8757166e-12
1380000.0,-6.7036560e-02,-1.3021160e-01,-1.8718050e-01,-1.5867427e-01,-6.1712481e-03,-2.6521332e-10
1395000.0,-1.6050068e-02,-3.4784389e-02,-4.7628969e-02,-5.1264092e-02,1.5247879e-02,2.0224222e-07
1410000.0,-1.5116092e-02,-3.1385477e-02,-4.4755321e-02,-3.8370686e-02,8.9081148e-03,1.5386391e-07
1425000.0,-7.7191137e-02,-1.4809142e-01,-2.1025495e-01,-1.8827668e-01,2.3462061e-02,2.5452723e-10
1440000.0,-7.9481263e-02,-1.5491345e-01,-2.2116221e-01,-1.9473446e-01,-8.2372692e-03,-3.1122108e-10
1455000.0,-6.6693403e-02,-1.3061715e-01,-1.8921745e-01,-1.6728260e-01,3.9340448e-03,-2.6821459e-10
1470000.0,-4.6986643e-02,-9.3673312e-02,-1.3492202e-01,-1.2280490e-01,1.4701816e-02,-1.4200466e-10
1485000.0,-7.8060482e-03,-2.1253152e-02,-2.7008432e-02,-3.8386903e-02,1.7585119e-02,4.7183968e-07
1500000.0,-2.2585794e-02,-4.3274931e-02,-5.8833082e-02,-4.0933108e-02,-1.9299828e-02,-1.5347109e-11
1515000.0,-9.3248688e-02,-1.8013380e-01,-2.5609430e-01,-2.2218376e-01,-1.9062672e-02,-7.3184397e-10
1530000.0,-6.5660583e-02,-1.2921845e-01,-1.8721200e-01,-1.7072449e-01,2.3531347e-02,3.4365771e-10
1545000.0,-6.9496009e-02,-1.3647449e-01,-1.9832666e-01,-1.7374917e-01,2.0907977e-04,-2.0071118e-09
1560000.0,-3.5535214e-02,-7.0055562e-02,-1.0133622e-01,-8.8486157e-02,5.8530868e-03,-1.8182972e-10
1575000.0,3.2991509e-05,-7.1143564e-03,-2.7941473e-04,-1.4178717e-02,2.5617087e-03,3.0961718e-07
1590000.0,-2.4744660e-02,-4.7734451e-02,-6.5222578e-02,-4.3316369e-02,-1.7011050e-02,-2.3511912e-10
1605000.0,-9.8134217e-02,-1.9169156e-01,-2.7676127e-01,-2.4467989e-01,-4.3567234e-04,-1.7477185e-09
1620000.0,-3.4808376e-02,-6.9397661e-02,-1.0129033e-01,-9.8948014e-02,2.4265193e-02,5.4368471e-10
1635000.0,-1.6474838e-02,-3.4702766e-02,-4.9741929e-02,-4.7718597e-02,6.9880372e-03,-7.0726293e-11
1650000.0,-1.1491794e-02,-2.6197445e-02,-3.8034966e-02,-3.5187127e-02,7.8780360e-03,2.8059297e-08
1665000.0,1.0628478e-03,-4.0722305e-03,-2.4624010e-05,-8.9119115e-03,3.3629747e-03,1.0381598e-07
1680000.0,-3.4353718e-02,-6.5275314e-02,-8.9602280e-02,-5.9452693e-02,-2.6645423e-02,-3.2958936e-10
